ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
631763236,Audio,Black-capped Chickadee,Poecile atricapillus,,Sarah Bowman,2025-03-07,2025,3,7,1510,Canada,CA-ON-WT,Ontario,Waterloo,"King East, Kitchener, ON, Canada",43.4473340,-80.4802320,Adult – 2,Call,Unspecified,"","",,,Recorded as video with Panasonic Lumix DC-FZ80 camera.,,Converted to audio with online converter.,,S217088531,"",,,"Two adults are scolding my cat that has ventured into the tree. The cat is on a leash. I don't let it get to the birds. The birds calm down when the cat comes out of the tree. ","I saw them in tree, also flying.",Poecile atricapillus,bkcchi,Species,21841,,.00,0,"",,
631763235,Audio,Black-capped Chickadee,Poecile atricapillus,,Sarah Bowman,2025-03-07,2025,3,7,1510,Canada,CA-ON-WT,Ontario,Waterloo,"King East, Kitchener, ON, Canada",43.4473340,-80.4802320,Adult – 2,Call,Unspecified,"","",,,Recorded as video with Panasonic Lumix DC-FZ80 camera.,,Converted to audio with online converter.,,S217088531,"",,,Children are heard in the background.,"I saw them in tree, also flying.",Poecile atricapillus,bkcchi,Species,21841,,3.00,1,"",,
631755166,Audio,Black-capped Chickadee,Poecile atricapillus,,William McClellan,2025-03-07,2025,3,7,959,United States,US-WI-117,Wisconsin,Sheboygan,Arthur Jerving Conservancy,43.7024387,-87.7105243,"",,Unspecified,"","",,,,,,,S217053711,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,.00,0,,,
631754257,Audio,Black-capped Chickadee,Poecile atricapillus,,David Wheeler,2024-04-02,2024,4,2,1205,United States,US-UT-035,Utah,Salt Lake,"Salt Lake City -- Chateau Wheeler, Sugarhouse",40.7231678,-111.8628298,"",Song,Unspecified,"","",,,iPhone,none,,,S166952049,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,"",,
631754258,Audio,Black-capped Chickadee,Poecile atricapillus,,David Wheeler,2024-04-02,2024,4,2,1205,United States,US-UT-035,Utah,Salt Lake,"Salt Lake City -- Chateau Wheeler, Sugarhouse",40.7231678,-111.8628298,"",Song,Unspecified,"","",,,iPhone,none,,,S166952049,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,4.00,1,"",,
631750148,Audio,Black-capped Chickadee,Poecile atricapillus,,Sarah Bowman,2025-03-07,2025,3,7,925,Canada,CA-ON-WT,Ontario,Waterloo,"King East, Kitchener, ON, Canada",43.4473340,-80.4802320,Adult – 1,Song,Unspecified,"","",,,Recorded as video with Panasonic Lumix DC-FZ80 camera.,,Converted to audio with online converter.,,S217036505,"",,,"Also wind and wind-chimes. By the time I got away from other sounds, the bird was gone. ",I heard them. I think there were two.,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,"",,
631750149,Audio,Black-capped Chickadee,Poecile atricapillus,,Sarah Bowman,2025-03-07,2025,3,7,925,Canada,CA-ON-WT,Ontario,Waterloo,"King East, Kitchener, ON, Canada",43.4473340,-80.4802320,Adult – 1,Call,Unspecified,"","",,,Recorded as video with Panasonic Lumix DC-FZ80 camera.,,Converted to audio with online converter.,,S217036505,"",,,,I heard them. I think there were two.,Poecile atricapillus,bkcchi,Species,21841,,4.00,1,"",,
631750141,Audio,Black-capped Chickadee,Poecile atricapillus,"Cardinalis cardinalis -- Northern Cardinal; Zonotrichia albicollis -- White-throated Sparrow; Cyanocitta cristata -- Blue Jay",Chris Wood,2025-02-23,2025,2,23,652,United States,US-NY-103,New York,Suffolk,Eastport Lake (aka Seatuck Creek),40.8277092,-72.7276897,"",Call,Not Used,"","",,,iPhone 15 Pro Max,iPhone 15 Pro Max,,,S214985953,"",,,Calls from a Black-capped Chickadee with a car going past in background.,,Poecile atricapillus,bkcchi,Species,21841,,2.00,1,"",,
631730734,Audio,Black-capped Chickadee,Poecile atricapillus,,Richard Fleming,2025-03-06,2025,3,6,1047,United States,US-NY-047,New York,Kings,Floyd Bennett Field--Ecology Village Area,40.5863535,-73.8851488,"",Call,Not Used,"","",,,iPhone SE 3G,,,,S216914120,"",,,Heavy low cut below 500 to combat typical iPhone wind noise. No significant impact to frequencies of the calls.,,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,"",,
631715764,Audio,Black-capped Chickadee,Poecile atricapillus,"Quiscalus quiscula -- Common Grackle; Agelaius phoeniceus -- Red-winged Blackbird; Melospiza melodia -- Song Sparrow; Cardinalis cardinalis -- Northern Cardinal; Sturnus vulgaris -- European Starling",Andrew W.,2025-03-01,2025,3,1,1555,United States,US-MA-017,Massachusetts,Middlesex,Woburn Community Gardens,42.4736361,-71.1680778,"",,Unspecified,"","",,,,,,,S216110982,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,.00,0,,,
