ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
631766681,Audio,Blue Jay,Cyanocitta cristata,,Susan Leake,2025-03-07,2025,3,7,1015,United States,US-LA-033,Louisiana,East Baton Rouge,Pikes Ln area,30.4073310,-91.1226630,"",,Unspecified,"","",,,,,,,S217061483,"",,,,Calling now and then from different locations.,Cyanocitta cristata,blujay,Species,21066,,.00,0,,,
631764044,Audio,Blue Jay,Cyanocitta cristata,Melanerpes carolinus -- Red-bellied Woodpecker,Mara Flynn,2025-02-21,2025,2,21,1346,United States,US-IN-105,Indiana,Monroe,Boulders to Davis St path,39.1540210,-86.5180430,"",,Unspecified,"","",,,,,,,S214794181,"",,,"this individual was sitting in the center of a spruce tree, bobbing up and down as it made this sound",,Cyanocitta cristata,blujay,Species,21066,,.00,0,,,
631756104,Audio,Blue Jay,Cyanocitta cristata,,Margaret Viens,2025-03-07,2025,3,7,746,United States,US-FL-115,Florida,Sarasota,Myakka SF--East River Rd,27.0196620,-82.2805788,"",Call,Unspecified,"","",,,iPhone 13,none,none,,S217067312,"",,,,,Cyanocitta cristata,blujay,Species,21066,,3.00,1,"",,
631754469,Audio,Blue Jay,Cyanocitta cristata,"Passer domesticus -- House Sparrow; Poecile atricapillus -- Black-capped Chickadee",Bill Tollefson,2025-02-27,2025,2,27,726,United States,US-IA-113,Iowa,Linn,Home,42.0162692,-91.7330074,Adult – 1,Call,Not Used,"","",,,,,,,S215670815,"",,,,,Cyanocitta cristata,blujay,Species,21066,,.00,0,"",,
631753819,Audio,Blue Jay,Cyanocitta cristata,,Anonymous,2025-03-01,2025,3,1,1017,United States,US-NY-121,New York,Wyoming,Beaver Meadow Audubon Center,42.6730027,-78.3831251,"",,Unspecified,"","",,,,,,,S216109573,"",,,,,Cyanocitta cristata,blujay,Species,21066,,.00,0,,,
631753033,Audio,Blue Jay,Cyanocitta cristata,,Gregg Goodrich,2025-03-07,2025,3,7,907,United States,US-CO-035,Colorado,Douglas,Home,39.5519250,-104.9309010,"",,Unspecified,"","",,,,,,,S217051521,"",,,,Giving Cooper’s Hawk call. Got recording,Cyanocitta cristata,blujay,Species,21066,,.00,0,,,
631750197,Audio,Blue Jay,Cyanocitta cristata,Poecile atricapillus -- Black-capped Chickadee,Sarah Bowman,2025-03-07,2025,3,7,925,Canada,CA-ON-WT,Ontario,Waterloo,"King East, Kitchener, ON, Canada",43.4473340,-80.4802320,Adult – 1,Call,Unspecified,"","",,,Recorded as video with Panasonic Lumix DC-FZ80 camera.,,Converted to audio with online converter.,,S217036505,"",,,,I heard it.,Cyanocitta cristata,blujay,Species,21066,,4.00,1,"",,
631750168,Audio,Blue Jay,Cyanocitta cristata,"Poecile atricapillus -- Black-capped Chickadee; Cardinalis cardinalis -- Northern Cardinal; Zonotrichia albicollis -- White-throated Sparrow",Chris Wood,2025-02-23,2025,2,23,652,United States,US-NY-103,New York,Suffolk,Eastport Lake (aka Seatuck Creek),40.8277092,-72.7276897,Adult – 3,"",Not Used,"","",,,iPhone 15 Pro Max,iPhone 15 Pro Max,,,S214985953,"",,,,,Cyanocitta cristata,blujay,Species,21066,,.00,0,"",,
631748203,Audio,Blue Jay,Cyanocitta cristata,"Passer domesticus -- House Sparrow; Cardinalis cardinalis -- Northern Cardinal; Melanerpes carolinus -- Red-bellied Woodpecker; Turdus migratorius -- American Robin; Junco hyemalis -- Dark-eyed Junco",Heidi Ananthakrishnan,2025-03-07,2025,3,7,815,United States,US-VA-013,Virginia,Arlington,"Home courtyard (38.875, -77.087)",38.8745572,-77.0867583,"",,Unspecified,"","",,,,,,,S217014859,"",,,,,Cyanocitta cristata,blujay,Species,21066,,5.00,1,,,
631728648,Audio,Blue Jay,Cyanocitta cristata,,grete pasch,2025-03-04,2025,3,4,155,United States,US-NY-109,New York,Tompkins,Eastern Heights Park,42.4210568,-76.4489383,Adult – 1,Call,Not Used,"","",,,iphone 11,,,,S216959002,"",,,,,Cyanocitta cristata,blujay,Species,21066,,2.00,1,"",,
