ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
631766915,Audio,Northern Mockingbird,Mimus polyglottos,,Isaac Brown,2025-03-04,2025,3,4,548,United States,US-TN-149,Tennessee,Rutherford,Murfree Spring Wetlands at the Discovery Center,35.8398987,-86.3900916,"",,Unspecified,"","",,,,,,,S216575388,"",,,,,Mimus polyglottos,normoc,Species,27870,,5.00,1,,,
631766900,Audio,Northern Mockingbird,Mimus polyglottos,,Isaac Brown,2025-03-04,2025,3,4,548,United States,US-TN-149,Tennessee,Rutherford,Murfree Spring Wetlands at the Discovery Center,35.8398987,-86.3900916,"",,Unspecified,"","",,,,,,,S216575388,"",,,,,Mimus polyglottos,normoc,Species,27870,,5.00,1,,,
631731955,Audio,Northern Mockingbird,Mimus polyglottos,,Shelia Hargis,2025-03-06,2025,3,6,733,United States,US-TX-453,Texas,Travis,Commons Ford Ranch Metro Park,30.3373826,-97.8930759,"",Call,Not Used,"","",,,,,,,S216959122,"",,,One bird chased another while scolding the entire time.,Two scolded constantly and one followed the other through the tangle along the trail for extended time. Another flew in and one flew up in the air toward it.,Mimus polyglottos,normoc,Species,27870,,3.00,1,"",,
631660301,Audio,Northern Mockingbird,Mimus polyglottos,,Emerson Lisboa,2025-03-05,2025,3,5,806,United States,US-OH-041,Ohio,Delaware,"Liberty Grand Communities, Powell",40.2078287,-83.1002031,"",,Unspecified,"","",,,,,,,S216716931,"",,,,"Repertoire included NOFL, WBNU, GRCA, BAEA, COGR, TUTI, EABL, RTHA, squirrels, and a car alarm chirp between two songs (only one recording)",Mimus polyglottos,normoc,Species,27870,,.00,0,,,
631639617,Audio,Northern Mockingbird,Mimus polyglottos,,Jay Gilliam,2024-05-18,2024,5,18,611,United States,US-IA-053,Iowa,Decatur,"16580 County Road J52, Lamoni, Iowa, US (40.638, -93.889)",40.6381394,-93.8891078,"","Foraging or Eating; Song",Not Used,"","",,,Canon Vixia HF-S200,Canon DM-100,,,S175289130,"",,,,"Photos, audio",Mimus polyglottos,normoc,Species,27870,,3.67,3,"",,
631639611,Audio,Northern Mockingbird,Mimus polyglottos,,Jay Gilliam,2024-05-18,2024,5,18,611,United States,US-IA-053,Iowa,Decatur,"16580 County Road J52, Lamoni, Iowa, US (40.638, -93.889)",40.6381394,-93.8891078,"","Foraging or Eating; Song",Not Used,"","",,,Canon Vixia HF-S200,Canon DM-100,,,S175289130,"",,,,"Photos, audio",Mimus polyglottos,normoc,Species,27870,,5.00,3,"",,
631639602,Audio,Northern Mockingbird,Mimus polyglottos,,Jay Gilliam,2024-05-18,2024,5,18,611,United States,US-IA-053,Iowa,Decatur,"16580 County Road J52, Lamoni, Iowa, US (40.638, -93.889)",40.6381394,-93.8891078,"","Foraging or Eating; Song",Not Used,"","",,,Canon Vixia HF-S200,Canon DM-100,,,S175289130,"",,,,"Photos, audio",Mimus polyglottos,normoc,Species,27870,,5.00,2,"",,
631639601,Audio,Northern Mockingbird,Mimus polyglottos,,Jay Gilliam,2024-05-18,2024,5,18,611,United States,US-IA-053,Iowa,Decatur,"16580 County Road J52, Lamoni, Iowa, US (40.638, -93.889)",40.6381394,-93.8891078,"","Foraging or Eating; Song",Not Used,"","",,,Canon Vixia HF-S200,Canon DM-100,,,S175289130,"",,,,"Photos, audio",Mimus polyglottos,normoc,Species,27870,,5.00,2,"",,
631638418,Audio,Northern Mockingbird,Mimus polyglottos,,Jay Gilliam,2024-05-04,2024,5,4,1406,United States,US-IA-159,Iowa,Ringgold,"County Highway J55, Lamoni, Iowa, US (40.617, -94.108)",40.6170164,-94.1077000,"",,Unspecified,"","",,,,,,,S171981411,"",,,,Photo,Mimus polyglottos,normoc,Species,27870,,4.00,1,,,
631638405,Audio,Northern Mockingbird,Mimus polyglottos,,Jay Gilliam,2024-05-04,2024,5,4,1406,United States,US-IA-159,Iowa,Ringgold,"County Highway J55, Lamoni, Iowa, US (40.617, -94.108)",40.6170164,-94.1077000,"",,Unspecified,"","",,,,,,,S171981411,"",,,,Photo,Mimus polyglottos,normoc,Species,27870,,3.00,1,,,
631625644,Audio,Northern Mockingbird,Mimus polyglottos,Sayornis phoebe -- Eastern Phoebe,Jonathan Rust,2025-03-04,2025,3,4,1356,United States,US-GA-059,Georgia,Clarke,Ronnie Claxton Memorial Orchard and UGA Lab Complex,33.8949280,-83.3666000,"",Song,Unspecified,"","",,,,,,,S216628550,"",,,,,Mimus polyglottos,normoc,Species,27870,,.00,0,"",,
631598422,Audio,Northern Mockingbird,Mimus polyglottos,,Eric DeFonso 🦑,2024-04-21,2024,4,21,1711,United States,US-TX-101,Texas,Cottle,Matador WMA (PHP-087),34.1186263,-100.3595924,"",,Unspecified,"","",,,,,,,S169724824,"",,,,,Mimus polyglottos,normoc,Species,27870,,5.00,1,,,
631593002,Audio,Northern Mockingbird,Mimus polyglottos,,Mirielle Villanueva,2025-03-03,2025,3,3,833,Puerto Rico,PR-SJ,San Juan,,"HEX 499, Jardín Botánico de Río Piedras, San Juan PR",18.3865890,-66.0540000,"",,Unspecified,"","",,,,,,,S216511319,"",,,,,Mimus polyglottos,normoc,Species,27870,,.00,0,,,
631586910,Audio,Northern Mockingbird,Mimus polyglottos,,Dan Wiessner,2025-02-22,2025,2,22,1530,United States,US-FL-103,Florida,Pinellas,"1608 Huntington Ln, Safety Harbor US-FL 28.00685, -82.70211",28.0068530,-82.7021110,"",,Unspecified,"","",,,,,,,S214895559,"",,,,,Mimus polyglottos,normoc,Species,27870,,.00,0,,,
631552175,Audio,Northern Mockingbird,Mimus polyglottos,,Debbie Niemeyer,2025-02-26,2025,2,26,638,United States,US-NV-003,Nevada,Clark,Craig Ranch Regional Park,36.2449216,-115.1517116,"",Song,Not Used,"","",,,iPhone 12,,,,S215532307,"",,,,,Mimus polyglottos,normoc,Species,27870,,2.00,1,"",,
631536683,Audio,Northern Mockingbird,Mimus polyglottos,,Mark W. Lockwood,2025-03-01,2025,3,1,714,United States,US-TX-107,Texas,Crosby,White River Lake (PHP 023),33.4737991,-101.0861160,"",,Unspecified,"","",,,,,,,S216064006,"",,,,,Mimus polyglottos,normoc,Species,27870,,.00,0,,,
631518545,Audio,Northern Mockingbird,Mimus polyglottos,,Anne McCormack,2025-03-02,2025,3,2,1038,United States,US-MO-189,Missouri,St. Louis,St. Louis Community College--Meramec Campus,38.5700720,-90.4199000,Adult – 1,Song,Not Used,"","",,,iPhone SE 2020,internal iPhone microphone,none,,S216280011,"",,,"Extended song with no other bird singing, recorded at about 12 feet. Recorded with Merlin, edited with Ocenaudio.","Extended song with no other bird singing, recorded at about 12 feet",Mimus polyglottos,normoc,Species,27870,,3.00,1,"",,
631504626,Audio,Northern Mockingbird,Mimus polyglottos,,Russ Koppendrayer,2025-02-26,2025,2,26,805,United States,US-WA-075,Washington,Whitman,Blyton Landing,46.5590940,-117.2705290,"",,Unspecified,"","",,,,,,,S215548764,"",,,,"Continuing bird. Excellent find by the WSU group and thanks for the location details. Very cooperative this morning perched up in the sun upon my arrival. Photos and a recording of it singing quietly. Unfortunately can't upload that until I get home this weekend.",Mimus polyglottos,normoc,Species,27870,,.00,0,,,
631494910,Audio,Northern Mockingbird,Mimus polyglottos,,Christopher Lindsey,2025-03-01,2025,3,1,1106,United States,US-WA-075,Washington,Whitman,Blyton Landing,46.5590940,-117.2705290,"",,Unspecified,"","",,,,,,,S216164192,"",,,"All sounds are from the mockingbird except for the song sparrow. I'm hearing what sounds like a Carolina wren starting at the 1 minute mark. Wave noise from Snake River. ","Continuing bird found by the WSU birding club. Mimicking lots of bird sounds - kestrel, magpie, towhee, Say's phoebe, robin, flicker, pewee, and one sounding like Carolina wren starting at 1:00 on first recording.",Mimus polyglottos,normoc,Species,27870,,3.00,1,,,
631494913,Audio,Northern Mockingbird,Mimus polyglottos,,Christopher Lindsey,2025-03-01,2025,3,1,1106,United States,US-WA-075,Washington,Whitman,Blyton Landing,46.5590940,-117.2705290,"",,Unspecified,"","",,,,,,,S216164192,"",,,,"Continuing bird found by the WSU birding club. Mimicking lots of bird sounds - kestrel, magpie, towhee, Say's phoebe, robin, flicker, pewee, and one sounding like Carolina wren starting at 1:00 on first recording.",Mimus polyglottos,normoc,Species,27870,,3.00,1,,,
631442036,Audio,Northern Mockingbird,Mimus polyglottos,,Mirielle Villanueva,2025-02-27,2025,2,27,1711,Puerto Rico,PR-IS,Isabela,,"HEX 372 , Praderas del NO, Isabela US-PR 18.47704, -67.01151",18.4770370,-67.0115060,"",,Unspecified,"","",,,,,,,S215742663,"",,,,,Mimus polyglottos,normoc,Species,27870,,3.00,1,,,
631434242,Audio,Northern Mockingbird,Mimus polyglottos,,Brad Rumble,2025-02-28,2025,2,28,734,United States,US-CA-037,California,Los Angeles,Esperanza Elementary School,34.0548202,-118.2722211,"",,Unspecified,"","",,,,,,,S215944101,"",,,,Singing while perching on a wire above Little Street habitat.,Mimus polyglottos,normoc,Species,27870,,.00,0,,,
