ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
104365511,Audio,American Crow,Corvus brachyrhynchos,,James (Jim) Holmes,2018-06-14,2018,6,14,557,United States,US-CA-067,California,Sacramento,U Street x 42nd Street,38.5569413,-121.4561635,Adult,Call,Not Used,"","",,,Olympus LS11,Sennheiser ME67,,,S46539241,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.45,58,"",,
229089,Audio,American Crow,Corvus brachyrhynchos,,Bob McGuire,2009-12-09,2009,12,9,740,United States,US-FL-087,Florida,Monroe,Everglades NP--Flamingo,25.1416000,-80.9255000,Unknown – 3,Call,Not Used,"","",,,Sound Devices 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.83,12,"",,
56781051,Audio,American Crow,Corvus brachyrhynchos,,James (Jim) Holmes,2017-04-24,2017,4,24,1816,United States,US-LA-113,Louisiana,Vermilion,"Hebert's Public Boat Ramp",29.7464810,-92.3250965,Adult,Call,Not Used,"","",,,Olympus LS-11,Sennheiser ME66,,,S36248302,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.89,9,"",,
420980621,Audio,American Crow,Corvus brachyrhynchos,Streptopelia decaocto -- Eurasian Collared-Dove,Paul Fenwick,2022-02-11,2022,2,11,948,United States,US-CA-053,California,Monterey,US-CA-Carmel Valley Village-336 El Caminito Rd,36.4884780,-121.7212130,Adult – 1,Call,Not Used,"","",,,MixPre3,Wildtronics,Parabola,,S102510403,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,5.00,7,"",,
304195801,Audio,American Crow,Corvus brachyrhynchos,,Susan Elliott,2021-02-04,2021,2,4,949,United States,US-VT-021,Vermont,Rutland,Northwood Park Loop,43.6478166,-72.9509691,Adult – 3,"",Not Used,"","",,,iPhone8/AVR,none,none,,S80410600,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.75,8,"",,
305346371,Audio,American Crow,Corvus brachyrhynchos,,Cin-Ty Lee,2021-02-07,2021,2,7,953,United States,US-TX-157,Texas,Fort Bend,Brazos Bend SP (UTC 117),29.3735739,-95.6230259,"",,Unspecified,"","",,,,,,,S80623757,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.86,7,,,
391813591,Audio,American Crow,Corvus brachyrhynchos,,Jonathan Irons,2021-11-07,2021,11,7,855,United States,US-MD-035,Maryland,"Queen Anne's",whistling swan way,38.8928179,-76.1937797,"",,Unspecified,"","",,,,,,,S97243639,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,5.00,6,,,
305970,Audio,American Crow,Corvus brachyrhynchos,,Wil Hershberger,2011-09-06,2011,9,6,809,United States,US-WV-003,West Virginia,Berkeley,Wood Song,39.5749560,-78.0544680,Adult – 1,Call,Unspecified,"","",,,Sound Devices 702,Sennheiser MKH 20,SASS,,,"",4.0,,"Recordist's Notes: Adult American Crow calling near feeders. Recording Time: 0809 (UTC -4).  Temperature 4.0C.  Habitat: mixed deciduous woods.  Distance to sound source: 16 meters.  Specific location: Wood Song, Berkeley Co., WV. Latitude 39.575464, Longitude -78.056623.  Elevation 156 meters.  ID'd by sight and sound; ID confidence 100%.  Equipment notes: Recorder HPF on at 80Hz, -12dB/octave. Recordists original file name: WH_11T6_SASS_Woodsong American Crow calls_Berkeley Co WV_ML.wav",,Corvus brachyrhynchos,amecro,Species,21333,,5.00,6,"",,
132185,Audio,American Crow,Corvus brachyrhynchos,,Gerrit Vyn,2006-06-26,2006,6,26,0,United States,US-AK,Alaska,,Valdez,61.1276667,-146.3375000,"",Call,Not Used,"","",,,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,,"",,,NOTES: SIngle bird then 25-35 birds mobbing me as I entered thicket where several birds were nesting. Other Behaviors: Emit Alarm.,,Corvus brachyrhynchos,amecro,Species,21333,,5.00,6,"",,
100710,Audio,American Crow,Corvus brachyrhynchos,,Wil Hershberger,1999-03-13,1999,3,13,604,United States,US-MD-021,Maryland,Frederick,Audrey Carroll Audubon Sanctuary,39.4178615,-77.2069788,Adult Male – 1,"Call; Mechanical Sound; Song",Not Used,"","",,,SONY TCD-D10 PRO II,"Sennheiser ME 62; Sennheiser ME 66",Roche Parabola 74cm/17.7cm (29.1in/7in),,,"",,,"NOTES: Add note at 2411-2420 (10s). Other Behaviors: Advertise, Scold.",,Corvus brachyrhynchos,amecro,Species,21333,,5.00,6,"",,
50118,Audio,American Crow,Corvus brachyrhynchos,,Geoffrey A. Keller,1990-03-25,1990,3,25,1200,United States,US-OR-011,Oregon,Coos,South Slough National Estuarine Research Reserve,43.2958452,-124.3351665,Adult – 1,Call,Not Used,"","",,,UHER 4200 REPORT MONITOR,Sennheiser MKH 106T,Roche Parabola 74cm/17.7cm (29.1in/7in),,,"",,,"NOTES: noon +0.0hrs; species cut number 44; for weather light mist   BNA: Rattle and another call, but type not determined. JN 20May2005. Habitat: Evergreen Forest, Coniferous Forest, Deciduous Forest, Suburban, Yard.",,Corvus brachyrhynchos,amecro,Species,21333,,5.00,6,"",,
230870281,Audio,American Crow,Corvus brachyrhynchos,,Alvan Buckley,2020-04-21,2020,4,21,632,Canada,CA-NL-ON,Newfoundland and Labrador,"Avalon Peninsula-St. John's","St. John's--Quidi Vidi Lake",47.5801350,-52.6941258,"",,Unspecified,"","",,,Samsung S8,,,,S67571277,"",,,Normal and abnormal crow vocalizations included. Abnormal vocalization is at 0:15 and 1:59. May be a local dialect.,,Corvus brachyrhynchos,amecro,Species,21333,,4.83,6,,,
72456501,Audio,American Crow,Corvus brachyrhynchos,,Jeffrey Roth,2017-10-19,2017,10,19,1642,United States,US-OH-163,Ohio,Vinton,Lake Hope,39.3206204,-82.3558331,Adult,Call,Not Used,"","",,,iPhone with RØDE Rec,,,,S40021068,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.27,11,"",,
13120,Audio,American Crow,Corvus brachyrhynchos,Branta canadensis -- Canada Goose,Robert C. Stein,1963-06-14,1963,6,14,1225,United States,US-MI-153,Michigan,Schoolcraft,Seney NWR,46.2721054,-86.0042381,Juvenile – 1,Call,Unspecified,"","",,,NAGRA III-B,,,,,"",,,"NOTES: TAME YOUNG CROW WITH BLUE EYES SITTING ON A RAIL.   CAW.  1 IMMATURE(S)    BNA: Call, probably Begging Call of young bird.  JN 18May2005. Other Behaviors: Beg. Habitat: Yard.",,Corvus brachyrhynchos,amecro,Species,21333,Randolph Little,5.00,5,"",,
