ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
631718752,Audio,European Starling,Sturnus vulgaris,,Mehmet Ölmez,2025-03-02,2025,3,2,851,Türkiye,TR-38,Kayseri,,Koramaz Vadisi,38.8135295,35.7158232,"",,Unspecified,"","",,,,,,,S216200723,"",,,,,Sturnus vulgaris,eursta,Species,27571,,3.00,2,,,
631693946,Audio,European Starling,Sturnus vulgaris,,Isabelle Reddy,2025-02-16,2025,2,16,1313,United States,US-CA-001,California,Alameda,MLK Jr. Regional Shoreline--Arrowhead Marsh,37.7421628,-122.2112274,"",,Unspecified,"","",,,,,,,S213933707,"",,,,,Sturnus vulgaris,eursta,Species,27571,,.00,0,,,
631691675,Audio,European Starling,Sturnus vulgaris,,Alexander R,2025-03-05,2025,3,5,1253,Canada,CA-ON-VI,Ontario,Kawartha Lakes,Lindsay Landfill,44.3907090,-78.7349582,"",,Unspecified,"","",,,,,,,S216818105,"",,,,Estimated. About 70 were in trees along the edge of the landfill being very noisy (including meadowlark and house sparrow impressions alongside usual starling squeaks). I counted about 90 more over the landfill at one time. I know the true number here is larger.,Sturnus vulgaris,eursta,Species,27571,,.00,0,,,
631687091,Audio,European Starling,Sturnus vulgaris,,Parker Eidle,2025-03-05,2025,3,5,1521,United States,US-PA-075,Pennsylvania,Lebanon,Work,40.3054670,-76.4246680,"",,Unspecified,"","",,,,,,,S216813757,"",,,,,Sturnus vulgaris,eursta,Species,27571,,.00,0,,,
631662795,Audio,European Starling,Sturnus vulgaris,,Roberto Lupi,2025-03-02,2025,3,2,1040,Italy,IT-21,Piemonte,,zona ponte SS33,45.9394037,8.4883564,"",,Unspecified,"","",,,,,,,S216732911,"",,,,,Sturnus vulgaris,eursta,Species,27571,,.00,0,,,
631635289,Audio,European Starling,Sturnus vulgaris,"Zenaida macroura -- Mourning Dove; Turdus migratorius -- American Robin",Liam Muir,2025-03-04,2025,3,4,1659,United States,US-PA-129,Pennsylvania,Westmoreland,Home,40.2991970,-79.6862840,Adult Male – 1,Song,Unspecified,"","",,,,,,,S216654169,"",,,,,Sturnus vulgaris,eursta,Species,27571,,.00,0,"",,
631598977,Audio,European Starling,Sturnus vulgaris,,Dana Siefer,2025-03-03,2025,3,3,0,United States,US-IA-021,Iowa,Buena Vista,StormyD BirdWeather PUC #11101,42.6436223,-95.2145645,"",,Unspecified,"","",,,,,,,S216531346,"",,,,,Sturnus vulgaris,eursta,Species,27571,,4.00,1,,,
631579494,Audio,European Starling,Sturnus vulgaris,,David Darrell-Lambert,2023-09-01,2023,9,1,654,Sweden,SE-N,Hallands län [SE-13],,Lerjan,57.0362781,12.3012114,"",,Unspecified,"","",,,,,,,S148665589,"",,,,,Sturnus vulgaris,eursta,Species,27571,,.00,0,,,
631579493,Audio,European Starling,Sturnus vulgaris,,David Darrell-Lambert,2023-09-01,2023,9,1,654,Sweden,SE-N,Hallands län [SE-13],,Lerjan,57.0362781,12.3012114,"",,Unspecified,"","",,,,,,,S148665589,"",,,,,Sturnus vulgaris,eursta,Species,27571,,.00,0,,,
631579492,Audio,European Starling,Sturnus vulgaris,,David Darrell-Lambert,2023-09-01,2023,9,1,654,Sweden,SE-N,Hallands län [SE-13],,Lerjan,57.0362781,12.3012114,"",,Unspecified,"","",,,,,,,S148665589,"",,,,,Sturnus vulgaris,eursta,Species,27571,,.00,0,,,
